,name,country_id,active
365,Koltsovo Airport,RU,yes
366,Ashgabat International Airport,TM,yes
367,Tashkent International Airport,UZ,yes
368,Zhukovsky International Airport,RU,yes
369,Domodedovo International Airport,RU,yes
370,Sheremetyevo International Airport,RU,yes
371,Vnukovo International Airport,RU,yes
372,Kazan International Airport,RU,yes
373,Gagarin International Airport,RU,yes
374,Ufa International Airport,RU,yes
375,Kurumoch International Airport,RU,yes
376,Chhatrapati Shivaji International Airport,IN,yes
377,Dabolim Airport,IN,yes
378,Bandaranaike International Colombo Airport,LK,yes
379,Mattala Rajapaksa International Airport,LK,yes
380,Phnom Penh International Airport,KH,yes
381,Siem Reap International Airport,KH,yes
382,Netaji Subhash Chandra Bose International Airport,IN,yes
383,Hazrat Shahjalal International Airport,BD,yes
384,Hong Kong International Airport,HK,yes
385,Indira Gandhi International Airport,IN,yes
386,Macau International Airport,MO,yes
387,Tribhuvan International Airport,NP,yes
388,Kempegowda International Airport,IN,yes
389,Cochin International Airport,IN,yes
390,Rajiv Gandhi International Airport,IN,yes
391,Chennai International Airport,IN,yes
392,Trivandrum International Airport,IN,yes
393,Malé International Airport,MV,yes
394,Don Mueang International Airport,TH,yes
395,Suvarnabhumi Airport,TH,yes
396,Chiang Mai International Airport,TH,yes
397,Phuket International Airport,TH,yes
398,Noi Bai International Airport,VN,yes
399,Tan Son Nhat International Airport,VN,yes
400,Mandalay International Airport,MM,yes
401,Yangon International Airport,MM,yes
402,Hasanuddin International Airport,ID,yes
403,Ngurah Rai (Bali) International Airport,ID,yes
404,Sentani International Airport,ID,yes
405,Juanda International Airport,ID,yes
406,Brunei International Airport,BN,yes
407,Soekarno-Hatta International Airport,ID,yes
408,Kuala Lumpur International Airport,MY,yes
409,Singapore Changi Airport,SG,yes
410,Brisbane International Airport,AU,yes
411,Melbourne International Airport,AU,yes
412,Yantai Penglai International Airport,CN,yes
413,Adelaide International Airport,AU,yes
414,Perth International Airport,AU,yes
415,Sydney Kingsford Smith International Airport,AU,yes
416,Beijing Capital International Airport,CN,yes
417,Beijing Daxing International Airport,CN,yes
418,Baita International Airport,CN,yes
419,Tianjin Binhai International Airport,CN,yes
420,Taiyuan Wusu Airport,CN,yes
421,Guangzhou Baiyun International Airport,CN,yes
422,Changsha Huanghua International Airport,CN,yes
423,Guilin Liangjiang International Airport,CN,yes
424,Nanning Wuxu Airport,CN,yes
425,Shenzhen Bao'an International Airport,CN,yes
426,Zhengzhou Xinzheng International Airport,CN,yes
427,Wuhan Tianhe International Airport,CN,yes
428,Haikou Meilan International Airport,CN,yes
429,Sanya Phoenix International Airport,CN,yes
430,Lanzhou Zhongchuan International Airport,CN,yes
431,Xi'an Xianyang International Airport,CN,yes
432,Ulaanbaatar Chinggis Khaan International Airport,MN,yes
433,Kunming Changshui International Airport,CN,yes
434,Xiamen Gaoqi International Airport,CN,yes
435,Fuzhou Changle International Airport,CN,no
436,Hangzhou Xiaoshan International Airport,CN,yes
437,Jinan Yaoqiang International Airport,CN,yes
438,Ningbo Lishe International Airport,CN,yes
439,Nanjing Lukou International Airport,CN,yes
440,Shanghai Pudong International Airport,CN,yes
441,Shanghai Hongqiao International Airport,CN,yes
442,Wenzhou Longwan International Airport,CN,yes
443,Chongqing Jiangbei International Airport,CN,yes
444,Longdongbao Airport,CN,yes
445,Chengdu Tianfu International Airport,CN,yes
446,Chengdu Shuangliu International Airport,CN,yes
447,Ürümqi Diwopu International Airport,CN,yes
448,Harbin Taiping International Airport,CN,yes
449,Dalian Zhoushuizi International Airport,CN,yes
450,Shenyang Taoxian International Airport,CN,yes
